product_name,product_slug,product_content,product_status,menu_order,product_date,post_parent,comment_status,sku,downloadable,virtual,visibility,stock_qty,stock_status,backorders,manage_stock,regular_price,sale_price,weight,length,width,height,upsell_ids,crosssell_ids,sold_individually,download_limit,download_expiry,purchase_note,featured_image,product_type,product_category,product_tag,product_shipping_class,product_attribute_name,product_attribute_value,product_attribute_visible
2+1 Deca norma (3 ml),2+1 Deca norma (3 ml),Nandrolone Norma 2+1 3ml for better price,Publish,0,7/7/2018,0,1,1243,no,no,1,1,1,1,no,11.99,0,100,50,50,50,0,0,yes,0,0,Only the best Supplements you can trust,https://malaytiger-shop.org/uploads/files/nandro.jpg,,Supplements|InjectableSteroids|Malay,,class 1,,,
2+1 Omnadren ( 15 amps),2+1 Omnadren ( 15 amps),"Omnadren 2+1 15 amps for best price

best choice for novice",Publish,0,7/8/2018,0,1,omn15,no,no,1,1,1,1,no,39.99,0,100,50,50,50,0,0,yes,0,0,Only the best Supplements you can trust,https://malaytiger-shop.org/uploads/files/omka.jpg,,Supplements|InjectableSteroids|Malay,,class 1,,,
Alphabolin,Alphabolin,"CHEMICAL NAME: 17beta-hydroxy-1-methyl-5alpha-androst-1-en-3-one, 1-methyl-1-(5-alpha) -androsten-3-one-17b-ol
HALF-LIFE OF RELEASE: 10 days
ANABOLIC RATING: 88
ANDROGEN RATING: 44-57

Dosage: 5x1ml",Publish,0,7/9/2018,0,1,Alphabol,no,no,1,1,1,1,no,43.99,0,100,50,50,50,0,0,yes,0,0,Only the best Supplements you can trust,https://malaytiger-shop.org/uploads/images/alphabolin1.jpg,,Supplements|InjectableSteroids|Malay,,class 1,,,
Androxine,Androxine,"Potency: 50mg per 1ml

Active ingredient: Trenbolone Base (Aqueous Suspensions)

Packaging: 10x1ml ampoule

Popular dosage : 50-100mg per day.

Performance: Muscle gains: 5/5
                         Strength: 5/5
                         Fat burn: 5/5
                        Side effects: 4/5

Androxine",Publish,0,7/10/2018,0,1,Androx,no,no,1,1,1,1,no,59.99,0,100,50,50,50,0,0,yes,0,0,Only the best Supplements you can trust,https://malaytiger-shop.org/uploads/images/androxine.jpg,,Supplements|InjectableSteroids|Malay,,class 1,,,
Bolde-250,Bolde-250,"CHEMICAL NAME: 1, 4-androstadiene-3-one, 17 beta-ol, 1-dehydrotestosterone
HALF-LIFE OF RELEASE: 14 days
ANABOLIC RATING: 100
ANDROGENS RATING: 50",Publish,0,7/11/2018,0,1,Bolde250,no,no,1,1,1,1,no,38.99,0,100,50,50,50,0,0,yes,0,0,Only the best Supplements you can trust,https://malaytiger-shop.org/uploads/images/bolde-2501.jpg,,Supplements|InjectableSteroids|Malay,,class 1,,,
Boldebolin,Boldebolin,"CHEMICAL NAME: 1, 4-androstadiene-3-one, 17 beta-ol, 1-dehydrotestosterone
HALF-LIFE OF RELEASE: 14 days
ANABOLIC RATING: 100
ANDROGENIC RATING: 50

Dosage: 10mp/1ml",Publish,0,7/12/2018,0,1,Boldebo,no,no,1,1,1,1,no,48.99,0,100,50,50,50,0,0,yes,0,0,Only the best Supplements you can trust,https://malaytiger-shop.org/uploads/images/boldebolin1.jpg,,Supplements|InjectableSteroids|Malay,,class 1,,,
Boldenone 200,Boldenone 200,"CHEMICAL NAME: 1, 4-androstadiene-3-one, 17 beta-ol, 1-dehydrotestosterone
HALF-LIFE OF RELEASE: 14 days
ANABOLIC RATING: 100
ANDROGENS RATING: 50",Publish,0,7/13/2018,0,1,Bolde200,no,no,1,1,1,1,no,42.99,0,100,50,50,50,0,0,yes,0,0,Only the best Supplements you can trust,https://malaytiger-shop.org/uploads/images/bolde12.jpg,,Supplements|InjectableSteroids|Malay,,class 1,,,
Boldenone Undecylenat,Boldenone Undecylenat,"CHEMICAL NAME: 1, 4-androstadiene-3-one, 17 beta-ol, 1-dehydrotestosterone
HALF-LIFE OF RELEASE: 14 days
ANABOLIC RATING: 100
ANDROGENS RATING: 50",Publish,0,7/14/2018,0,1,Boldeund,no,no,1,1,1,1,no,48.99,0,100,50,50,50,0,0,yes,0,0,Only the best Supplements you can trust,https://malaytiger-shop.org/uploads/files/boldenone.jpg,,Supplements|InjectableSteroids|Malay,,class 1,,,
D-Dubol 100,D-Dubol 100,"CHEMICAL NAME: 19-norandrost-4-en-3-one-17B-ol, 17β-Hydroxyestra-4-en-3-one
HALF-LIFE: 4.5 days
ANABOLIC RATING: 125
ANDROGENS RATING: 37",Publish,0,7/15/2018,0,1,D-Dub100,no,no,1,1,1,1,no,38.99,0,100,50,50,50,0,0,yes,0,0,Only the best Supplements you can trust,https://malaytiger-shop.org/uploads/images/ddubol.jpg,,Supplements|InjectableSteroids|Malay,,class 1,,,
Debo test-400,Debo test-400,"DEBO TEST-400

BOLDENONE UNDECYLENATE                      150mg
NANDROLONE PHENYLPROPIONATE                       100mg
TESTOSTERONE CYPIONATE                         100mg
TESTOSTERONE PROPIONATE                      50mg",Publish,0,7/16/2018,0,1,Debotest400,no,no,1,1,1,1,no,58.99,0,100,50,50,50,0,0,yes,0,0,Only the best Supplements you can trust,https://malaytiger-shop.org/uploads/images/debo-test-400-front1.jpg,,Supplements|InjectableSteroids|Malay,,class 1,,,
Deca test-400,Deca test-400,"DECA TEST-400

NANDROLONE DECANOATE             150mg
TESTOSTERONE CYPIONATE             150mg
BOLDENONE UNDECYLENATE           100mg

CONTENTS:    400mg/ml. (10amp./1ml)

",Publish,0,7/17/2018,0,1,Decatest400,no,no,1,1,1,1,no,53.99,0,100,50,50,50,0,0,yes,0,0,Only the best Supplements you can trust,https://malaytiger-shop.org/uploads/images/deca-test-400-front1.jpg,,Supplements|InjectableSteroids|Malay,,class 1,,,
Decanol-200,Decanol-200,"CHEMICAL NAME: 19-norandrost-4-en-3-one-17B-ol, 17β-Hydroxyestra-4-en-3-one
HALF-LIFE OF RELEASE: 15 days
ANABOLIC RATING: 125
ANDROGENS RATING: 37",Publish,0,7/18/2018,0,1,decamol200,no,no,1,1,1,1,no,47.99,0,100,50,50,50,0,0,yes,0,0,Only the best Supplements you can trust,https://malaytiger-shop.org/uploads/images/deca11.jpg,,Supplements|InjectableSteroids|Malay,,class 1,,,
Drostanolone Injection,Drostanolone Injection,"CHEMICAL NAME: 2alpha-methyl-androstan-3-one-17B-ol, 2alpha-methyl-dihydrotestosterone
HALF-LIFE OF RELEASE: 4-5 days
ANABOLIC RATING: 62-130
ANDROGENIC RATING: 25-40",Publish,0,7/19/2018,0,1,drostinj,no,no,1,1,1,1,no,41.99,0,100,50,50,50,0,0,yes,0,0,Only the best Supplements you can trust,https://malaytiger-shop.org/uploads/images/drostanolone-injection.jpg,,Supplements|InjectableSteroids|Malay,,class 1,,,
Enanthal-250,Enanthal-250,"CHEMICAL NAME: 4-androstene-3-one-17B-ol, 17beta-hydroxy-androst-4-en-3-one
HALF-LIFE: 10 days
ANABOLIC RATING: 100
ANDROGENS RATING: 100

",Publish,0,7/20/2018,0,1,Entha250,no,no,1,1,1,1,no,43.99,0,100,50,50,50,0,0,yes,0,0,Only the best Supplements you can trust,https://malaytiger-shop.org/uploads/images/enan-11.jpg,,Supplements|InjectableSteroids|Malay,,class 1,,,
Induject-250,Induject-250,"CHEMICAL NAME: 4-androstene-3-one-17B-ol, 17beta-hydroxy-androst-4-en-3-one
HALF-LIFE: 15 - 18 days
ANABOLIC RATING: 100
ANDROGENIC RATING: 100

Dosage: 10x1ml

",Publish,0,7/21/2018,0,1,Indu250,no,no,1,1,1,1,no,40.99,0,100,50,50,50,0,0,yes,0,0,Only the best Supplements you can trust,https://malaytiger-shop.org/uploads/images/induject250.jpg,,Supplements|InjectableSteroids|Malay,,class 1,,,
Mastebolin,Mastebolin,"DROSTANOLONE PROPIONATE

CHEMICAL NAME: 2alpha-methyl-androstan-3-one-17B-ol, 2alpha-methyl-dihydrotestosterone
HALF-LIFE OF RELEASE: 4-5 days
ANABOLIC RATING: 62-130
ANDROGEN RATING: 25-40

Dosage: 10x1ml",Publish,0,7/22/2018,0,1,Masterbolin,no,no,1,1,1,1,no,48.99,0,100,50,50,50,0,0,yes,0,0,Only the best Supplements you can trust,https://malaytiger-shop.org/uploads/images/mastebolin1.jpg,,Supplements|InjectableSteroids|Malay,,class 1,,,
Masteron di propionate,Masteron di propionate,"DROSTANOLONE PROPIONATE
CHEMICAL NAME: 2alpha-methyl-androstan-3-one-17B-ol, 2alpha-methyl-dihydrotestosterone
HALF-LIFE OF RELEASE: 4-5 days
ANABOLIC RATING: 62-130
ANDROGEN RATING: 25-40",Publish,0,7/23/2018,0,1,mastprop,no,no,1,1,1,1,no,48.99,0,100,50,50,50,0,0,yes,0,0,Only the best Supplements you can trust,https://malaytiger-shop.org/uploads/files/masteron%20di%20propionate.jpg,,Supplements|InjectableSteroids|Malay,,class 1,,,
Masteron-100,Masteron-100,"DROSTANOLONE PROPIONATE
CHEMICAL NAME: 2alpha-methyl-androstan-3-one-17B-ol, 2alpha-methyl-dihydrotestosterone
HALF-LIFE OF RELEASE: 4-5 days
ANABOLIC RATING: 62-130
ANDROGEN RATING: 25-40",Publish,0,7/24/2018,0,1,mast100,no,no,1,1,1,1,no,43.99,0,100,50,50,50,0,0,yes,0,0,Only the best Supplements you can trust,https://malaytiger-shop.org/uploads/images/masteron-11.jpg,,Supplements|InjectableSteroids|Malay,,class 1,,,
Mix Products Injection,Mix Products Injection,"TRENBOLONE ENANTHATE

CHEMICAL NAME: 17β-Hydroxyestra-4,9,11-triene-3-one
HALF-LIFE: 10 days
ANABOLIC RATING: 500
ANDROGENIC RATING: 500

 

 NANDROLONE DECANOATE

CHEMICAL NAME: 19-norandrost-4-en-3-one-17B-ol, 17β-Hydroxyestra-4-en-3-one
HALF-LIFE OF RELEASE: 15 days
ANABOLIC RATING: 125
ANDROGENIC RATING: 37

TESTOSTERONE COMPOUND

CHEMICAL NAME: 4-androsten-3-one-17beta-ol, 17beta-hydroxy-androst-4-en-3-one
HALF-LIFE OF RELEASE: 15 – 18 days
ANABOLIC RATING: 100
ANDROGENIC RATING: 100

",Publish,0,7/25/2018,0,1,mixinj,no,no,1,1,1,1,no,48.99,0,100,50,50,50,0,0,yes,0,0,Only the best Supplements you can trust,https://malaytiger-shop.org/uploads/images/mix-products-injection.jpg,,Supplements|InjectableSteroids|Malay,,class 1,,,
