product_name,product_slug,product_content,product_status,menu_order,product_date,post_parent,comment_status,sku,downloadable,virtual,visibility,stock_qty,stock_status,backorders,manage_stock,regular_price,sale_price,weight,length,width,height,upsell_ids,crosssell_ids,sold_individually,download_limit,download_expiry,purchase_note,featured_image,product_type,product_category,product_tag,product_shipping_class,product_attribute_name,product_attribute_value,product_attribute_visible
WATCH ADEE KAYE AK7234-M,WATCH ADEE KAYE AK7234-M,"Sporty-elegant male chronograph with a leather strap and a steel hull.

Mechanism:  quartz

Chain:  Genuine leather

Housing:  steel

Diameter:   white

Glass:  hardened mineral crystal

Water resistance:  50m / 5 atm

Housing diameter:  45mm

Case thickness:  14mm

Warranty: 3  years",Publish,0,29/07/18,0,1,AK7234,no,no,1,1,1,1,no,575,287,100,50,50,50,0,0,yes,0,0,Wrist watches from o-yes.co.uk - great quality at a tempting price ,https://reaction-bg.com/image/cache/data/AK7234-M-580x795.jpg,,Watches|Men'sWatches|Police,,class 1,,,
CLOCK BERING 11938-000,CLOCK BERING 11938-000,"Elegant men's watch made entirely of steel. 

Mechanism:  quartz

Chain:  steel 

Diameter:   white

Glass:  sapphire crystal

Water resistance: 30m / 3 atm

Housing diameter:  38 mm

Housing thickness:  6 mm

Warranty:  3 years",Publish,0,29/07/19,0,1,119380,no,no,1,1,1,1,no,250,0,100,50,50,50,0,0,yes,0,0,Wrist watches from o-yes.co.uk - great quality at a tempting price ,https://reaction-bg.com/image/cache/catalog/Bering/11938-000123-580x795.jpg,,Watches|Men'sWatches|Bering,,class 1,,,
WATCH BERING 11938-002,WATCH BERING 11938-002,"Elegant men's watch made entirely of steel. 

Mechanism:  quartz

Chain:  steel 

Diameter:  black

Glass:  sapphire crystal

Water resistance:  30m / 3 atm

Housing diameter:  38 mm

Housing thickness:  6 mm

Warranty:  3 years",Publish,0,29/07/20,0,1,119381,no,no,1,1,1,1,no,270,0,100,50,50,50,0,0,yes,0,0,Wrist watches from o-yes.co.uk - great quality at a tempting price ,https://reaction-bg.com/image/cache/catalog/Bering/11938-002-580x795.jpg,,Watches|Men'sWatches|Bering,,class 1,,,
CLOCK BERING 11940-377,CLOCK BERING 11940-377,"Elegant men's watch made entirely of steel. 

Mechanism:  quartz

Chain:  steel 

Housing : steel 

Diameter:   gray (carbon)

Glass:  sapphire crystal

Water resistance:  50m / 5 atm

Housing diameter:  40 mm

Housing thickness:  7 mm

Warranty:  3 years",Publish,0,29/07/21,0,1,119377,no,no,1,1,1,1,no,330,0,100,50,50,50,0,0,yes,0,0,Wrist watches from o-yes.co.uk - great quality at a tempting price ,https://reaction-bg.com/image/cache/catalog/bering/11940-377-580x795.jpg,,Watches|Men'sWatches|Bering,,class 1,,,
WATCH BERING 12138-002,WATCH BERING 12138-002,"Elegant men's watch made entirely of steel. 

Mechanism:  quartz

Chain:  steel 

Diameter:   black

Glass:  sapphire crystal

Water resistance:  50m / 5 atm

Housing diameter:  38 mm

Housing thickness:  6 mm

Warranty:  3 years",Publish,0,29/07/22,0,1,121002,no,no,1,1,1,1,no,290,0,100,50,50,50,0,0,yes,0,0,Wrist watches from o-yes.co.uk - great quality at a tempting price ,https://reaction-bg.com/image/cache/catalog/bering/12138-002-580x795.jpg,,Watches|Men'sWatches|Bering,,class 1,,,
WATCH BERING 12138-007,WATCH BERING 12138-007,"Elegant man watch  made entirely of steel. 

Mechanism:  quartz

Chain:  steel 

Diameter:  blue

Glass:  sapphire crystal

Water resistance:  50m / 5 atm

Housing diameter:  38 mm

Housing thickness:  6 mm

Warranty:  3 years",Publish,0,29/07/23,0,1,121007,no,no,1,1,1,1,no,290,0,100,50,50,50,0,0,yes,0,0,Wrist watches from o-yes.co.uk - great quality at a tempting price ,https://reaction-bg.com/image/cache/catalog/Bering/12138-007--580x795.jpg,,Watches|Men'sWatches|Bering,,class 1,,,
CLOCK BERING 12138-166,CLOCK BERING 12138-166,"Elegant men's watch made entirely of steel. 

Mechanism:  quartz

Chain:  steel 

Diameter:   black

Glass:  sapphire crystal

Water resistance:  50m / 5 atm

Housing diameter:  38 mm

Housing thickness:  6 mm

Warranty:  3 years",Publish,0,29/07/24,0,1,121166,no,no,1,1,1,1,no,330,0,100,50,50,50,0,0,yes,0,0,Wrist watches from o-yes.co.uk - great quality at a tempting price ,https://reaction-bg.com/image/cache/catalog/bering/12138-166 (1111)-580x795.jpg,,Watches|Men'sWatches|Bering,,class 1,,,
CLOCK BERING 14240-166,CLOCK BERING 14240-166,"Elegant man watch  made entirely of steel. 

Mechanism:  quartz

Chain:  steel 

Diameter:  black

Glass:  sapphire crystal

Water resistance:  50m / 5 atm

Housing diameter:  40 mm

Housing thickness:  8 mm

Warranty:  3 years",Publish,0,29/07/25,0,1,142166,no,no,1,1,1,1,no,390,0,100,50,50,50,0,0,yes,0,0,Wrist watches from o-yes.co.uk - great quality at a tempting price ,https://reaction-bg.com/image/cache/catalog/Bering/14240-166--580x795.jpg,,Watches|Men'sWatches|Bering,,class 1,,,
WATCH BERING 14440-222,WATCH BERING 14440-222,"Elegant men's  watch made entirely of steel. The clock has a date indicator. A solar panel is placed on the dial while the battery is charged with light.

Mechanism:  solar

Chain:  steel

Housing:  steel 

Diameter: black

Glass:  sapphire crystal

Water resistance:  50m / 5 atm

Housing diameter:  40 mm

Housing thickness:  9 mm

Warranty:  3 years",Publish,0,29/07/26,0,1,144222,no,no,1,1,1,1,no,390,0,100,50,50,50,0,0,yes,0,0,Wrist watches from o-yes.co.uk - great quality at a tempting price ,https://reaction-bg.com/image/cache/catalog/Bering/14440-222-838x1000.jpg,,Watches|Men'sWatches|Bering,,class 1,,,
WATCH BERING 14539-077,WATCH BERING 14539-077,"Elegant men's  watch made entirely of steel. 

Mechanism:  quartz

Chain:  steel 

Housing:  steel

Diameter:  gray

Glass:  sapphire crystal

Water resistance:  50m / 5 atm

Housing diameter:  39 mm

Housing thickness:  6 mm

Warranty:  3 years",Publish,0,29/07/27,0,1,145077,no,no,1,1,1,1,no,370,0,100,50,50,50,0,0,yes,0,0,Wrist watches from o-yes.co.uk - great quality at a tempting price ,https://reaction-bg.com/image/cache/catalog/bering/14539-077-838x1000.jpg,,Watches|Men'sWatches|Bering,,class 1,,,
